"","duration","c_0001","p_0001","v_113","v_114","meduse_1","meduse_2","meduse_3","medtime_1","medtime_2","medtime_3","med_act","finan1","finan2","finan3","trust1","trust2","trust3","trust4","trust5","tsec1","tsec2","tsec3","tfree1","tfree2","tfree3","ssec1","ssec2","ssec3","sfree1","sfree2","sfree3","att","man_finance","man_eff","man_acc1","man_acc2","narrative_1","narrative_2","narrative_3","narrative_4","narrative_5","narrative_6","narrative_7","narrative_8","man_check1","man_check2","heiz1","heiz2","heiz3","heiz4","heiz5","heiz6","heiz7","heiz8","heiz9","heiz10","v_109","pol","v_7","SES","gender","age","country","finan","tsec","tfree","ssec","sfree","man_acc"
"13",106,"1",NA,0,1,5,5,5,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,4,2,2,2,5,2,3,2,3,2,3,0,0,0,1,0,0,0,0,0,0,NA,4,NA,2,1,11,"DE",1,1,1,1,1,3
"14",191,"1",289405475764307,0,1,6,2,6,3,2,3,2,3,4,5,7,6,3,5,4,3,4,5,2,3,4,2,4,3,2,3,4,1,2,5,3,3,2,5,1,3,2,3,2,4,3,4,1,0,0,0,0,0,0,0,0,0,NA,3,NA,8,2,32,"DE",4,4,3,3,3,3
"15",586,"3",289762377460801,0,1,1,9,8,1,1,2,1,6,4,5,4,3,1,3,4,3,2,2,4,3,5,4,3,4,4,3,3,NA,2,4,3,2,4,4,3,3,2,3,2,2,2,1,0,0,0,0,0,1,0,0,0,0,NA,1,NA,7,2,75,"DE",5,2.33333333333333,4,3.66666666666667,3.33333333333333,2.5
"16",415,"2",289762377651345,0,1,7,1,1,3,4,2,5,1,1,1,6,4,2,2,1,4,7,3,4,1,1,7,7,7,7,7,7,2,5,1,1,1,1,2,2,1,4,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,NA,1,NA,3,1,60,"DE",1,4.66666666666667,2,7,7,1
"17",340,"3",289762377435186,0,1,1,7,8,2,1,1,2,5,5,5,6,0,2,5,5,3,5,5,5,4,5,1,1,1,1,1,1,NA,1,5,3,4,2,5,2,4,1,4,3,4,3,2,0,1,0,0,0,1,0,0,0,0,NA,2,NA,6,2,64,"DE",5,4.33333333333333,4.66666666666667,1,1,3.5
"18",807,"1",289762377956387,0,1,1,9,9,2,1,1,1,7,7,7,7,6,1,5,4,1,2,2,4,2,2,1,1,1,2,1,1,1,1,6,4,4,1,4,1,4,1,4,2,3,4,4,0,0,0,0,1,0,0,0,0,0,NA,1,NA,8,2,66,"DE",7,1.66666666666667,2.66666666666667,1,1.33333333333333,4
"19",224,"2",289762377868532,0,1,8,1,9,3,6,6,4,3,4,4,4,2,1,2,1,1,3,6,2,2,2,7,7,7,7,6,7,2,5,3,1,1,3,1,3,1,1,4,1,1,4,3,0,0,0,0,1,0,0,0,0,0,NA,6,NA,6,1,45,"DE",3.66666666666667,3.33333333333333,2,7,6.66666666666667,1
"20",839,"3",289762377878777,0,1,1,9,9,2,1,2,1,6,6,6,6,3,2,2,2,4,4,4,4,4,4,2,4,2,4,2,1,NA,1,4,3,3,5,5,3,4,2,4,3,5,3,2,1,0,0,0,0,0,0,0,0,0,NA,6,NA,5,2,78,"DE",6,4,4,2.66666666666667,2.33333333333333,3
"21",649,"1",289762377651342,0,1,3,9,9,1,1,0,1,3,3,1,6,4,1,2,1,6,7,4,6,4,4,7,7,7,7,7,7,1,5,1,1,1,5,4,5,2,5,4,5,3,1,1,0,0,0,0,0,1,0,0,0,0,NA,7,NA,7,1,74,"DE",2.33333333333333,5.66666666666667,4.66666666666667,7,7,1
"22",433,"1",289762377620607,1,1,2,5,7,2,1,1,2,3,3,3,5,4,2,0,3,5,5,5,4,5,5,4,4,4,4,4,4,2,4,5,2,2,1,3,2,3,2,2,1,3,2,2,0,0,0,0,0,1,0,0,0,0,NA,2,NA,7,2,44,"DE",3,5,4.66666666666667,4,4,2
