"";"ssec ";"tsec ";"sfree ";"tfree ";"finan ";"SES ";"man_finance ";"trust5 ";"med_act ";"micronarratives ";"mainstream "
"ssec";" 1.00   ";"";"";"";"";"";"";"";"";"";""
"tsec";" 0.34***";" 1.00   ";"";"";"";"";"";"";"";"";""
"sfree";" 0.74***";" 0.22** ";" 1.00   ";"";"";"";"";"";"";"";""
"tfree";" 0.26***";" 0.64***";" 0.19*  ";" 1.00   ";"";"";"";"";"";"";""
"finan";"-0.48***";"-0.38***";"-0.21** ";"-0.30***";" 1.00   ";"";"";"";"";"";""
"SES";"-0.25** ";"-0.20*  ";"-0.08   ";"-0.20*  ";" 0.45***";" 1.00   ";"";"";"";"";""
"man_finance";" 0.75***";" 0.30***";" 0.56***";" 0.20*  ";"-0.51***";"-0.31***";" 1.00   ";"";"";"";""
"trust5";"-0.29***";"-0.27***";"-0.34***";"-0.27***";" 0.21** ";" 0.20*  ";"-0.17*  ";" 1.00   ";"";"";""
"med_act";"-0.05   ";" 0.08   ";"-0.14   ";" 0.14   ";" 0.05   ";" 0.04   ";"-0.06   ";"-0.09   ";" 1.00   ";"";""
"micronarratives";" 0.26** ";" 0.13   ";" 0.30***";" 0.15   ";"-0.08   ";"-0.08   ";" 0.14   ";"-0.29***";"-0.01   ";" 1.00   ";""
"mainstream";"-0.01   ";"-0.07   ";"-0.08   ";"-0.00   ";" 0.04   ";"-0.10   ";" 0.01   ";" 0.23** ";"-0.09   ";" 0.26***";" 1.00   "
