"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"c_0001";"p_0001";"v_113";"v_114";"meduse_1";"meduse_2";"meduse_3";"medtime_1";"medtime_2";"medtime_3";"medcondsoz_1";"medcondsoz_2";"medcondsoz_3";"medcondsoz_4";"medcondsoz_5";"medcondsoz_6";"medcondsoz_7";"medcondsoz_8";"medcondsoz_9";"medcondsoz_10";"v_48";"medcondsoz_11";"med_act";"finan1";"finan2";"finan3";"trust1";"trust2";"trust3";"trust4";"trust5";"tsec1";"tsec2";"tsec3";"tfree1";"tfree2";"tfree3";"ssec1";"ssec2";"ssec3";"sfree1";"sfree2";"sfree3";"att";"man_finance";"man_finance_ctrl";"man_eff";"man_eff_ctrl";"man_acc1";"man_acc2";"narrative_1";"narrative_2";"narrative_3";"narrative_4";"narrative_5";"narrative_6";"narrative_7";"narrative_8";"man_check1";"man_check2";"v_126";"v_127";"heiz1";"heiz2";"heiz3";"heiz4";"heiz5";"heiz6";"heiz7";"heiz8";"heiz9";"heiz10";"v_109";"pol";"v_7";"SES";"gender";"age";"browser";"referer";"device_type";"participant_browser";"participant_browser_version";"participant_os";"participant_device";"participant_brand";"participant_model";"participant_isbot";"participant_continent";"participant_country";"participant_region";"participant_city";"participant_latitude";"participant_longitude";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts7101447";"rts7101522";"rts7111982";"rts7112144";"rts7112405";"rts7112407";"rts7112415";"rts7113504";"rts7113506";"rts7113507";"rts7113508";"rts7113510";"rts7113511";"rts7113513";"rts7113514";"rts7113515";"rts7113516";"rts7113517";"rts7113518";"rts7118825";"rnd_pg_7119467_1";"rnd_pg_7119467_2";"rnd_pg_7119467_3";"rnd_pg_7119467_4";"rnd_pg_7119467_5";"rnd_pg_7119467_6";"rnd_pg_7119467_7";"rnd_pg_7119467_8"
"3";"0";"0";"31";"7115254";"-99";"10";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-99";"-99";"0";"-99";"0";"7101447,7115252,7115254";"0";"1";"0";"-99";"-99";"3cae916d0a3617b601d8796bd9eb507a";"1";"0";"1724060176";"2024-08-19 09:36:16";"2024-08-19 09:36:26";"0000-00-00 00:00:00";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99"
"4";"0";"0";"31";"7101365";"-99";"1285";"2";"-99";"-99";"-99";"7";"3";"6";"4";"1";"3";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"2";"3";"4";"3";"-99";"-99";"-99";"-99";"-99";"3";"5";"4";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"2";"5";"-99";"5";"-99";"4";"4";"2";"4";"1";"3";"2";"3";"3";"4";"3";"4";"-99";"-99";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"-99";"3";"-99";"6";"1";"19";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-99";"-99";"0";"-99";"0";"7101447,7115252,7101522,7101558,7101571,7111982,7112144,7112405,7112407,7112415,7113504,7113506,7113507,7113508,7113510,7113511,7113513,7113514,7113515,7113516,7113517,7113518,7101365";"0";"0";"0";"-99";"-99";"344a8329a249aa46efd899fc61ba48d9";"1";"0";"1724060407";"2024-08-19 09:40:07";"2024-08-19 10:01:32";"0000-00-00 00:00:00";"4";"55";"307";"407";"475";"638";"689";"743";"753";"781";"813";"861";"957";"994";"1051";"1085";"1111";"1123";"1285";"0";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99"
"5";"0";"0";"31";"7115254";"-99";"3";"-99";"-99";"1";"1";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-99";"-99";"0";"-99";"0";"7101447,7115252,7115254";"1";"0";"0";"-99";"-99";"ae62008d65252722b4b39b4db86bc992";"1";"0";"1724165514";"2024-08-20 14:51:54";"2024-08-20 14:51:57";"0000-00-00 00:00:00";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99"
"6";"0";"0";"31";"7101365";"-99";"1970";"2";"-99";"0";"1";"3";"3";"3";"3";"3";"3";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"4";"2";"2";"0";"-99";"-99";"-99";"-99";"-99";"4";"4";"4";"4";"4";"4";"-99";"-99";"-99";"-99";"-99";"-99";"1";"1";"-99";"4";"-99";"3";"3";"2";"3";"4";"5";"5";"3";"2";"3";"4";"3";"-99";"-99";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"-99";"5";"-99";"3";"1";"34";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-99";"-99";"0";"-99";"0";"7101447,7115252,7101522,7101558,7101571,7111982,7112144,7112405,7112407,7112415,7113504,7113506,7113507,7113508,7113510,7113510,7113510,7113511,7113513,7113514,7113515,7113516,7113517,7113518,7101365";"0";"0";"0";"-99";"-99";"89c274fc24e565707182a1f55f9b9eeb";"1";"0";"1724165615";"2024-08-20 14:53:35";"2024-08-20 15:26:25";"0000-00-00 00:00:00";"2";"12";"55";"104";"111";"119";"128";"189";"195";"200";"205";"1947";"1951";"1955";"1959";"1962";"1964";"1968";"1970";"0";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99"
"7";"0";"0";"31";"7115254";"-99";"10";"-99";"-99";"1";"0";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-99";"-99";"0";"-99";"0";"7101447,7115252,7115254";"1";"1";"0";"-99";"-99";"12c8b2442a20a804c8aa7b23335985ec";"1";"0";"1724247783";"2024-08-21 13:43:03";"2024-08-21 13:43:13";"0000-00-00 00:00:00";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99"
"8";"0";"0";"31";"7115254";"-99";"3";"-99";"-99";"1";"0";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-99";"-99";"0";"-99";"0";"7101447,7115252,7115254";"0";"0";"0";"-99";"-99";"2a07c1a910f247993ac8d951f3018703";"1";"0";"1724313215";"2024-08-22 07:53:35";"2024-08-22 07:53:38";"0000-00-00 00:00:00";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99"
"9";"0";"0";"31";"7115254";"-99";"2";"-99";"-99";"1";"0";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-99";"-99";"0";"-99";"0";"7101447,7115252,7115254";"0";"1";"0";"-99";"-99";"b8f2ff6171f7e47d9b6f00d8b989ea70";"1";"0";"1724313271";"2024-08-22 07:54:31";"2024-08-22 07:54:33";"0000-00-00 00:00:00";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99"
"11";"0";"0";"31";"7115254";"-99";"7";"-99";"-99";"1";"0";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-99";"-99";"0";"-99";"0";"7101447,7115252,7118825,7115254";"0";"1";"0";"-99";"-99";"45f601ab0dd2825cfe8178bd43bbb3da";"1";"0";"1724313961";"2024-08-22 08:06:01";"2024-08-22 08:06:08";"0000-00-00 00:00:00";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99"
"13";"0";"0";"31";"7101365";"-99";"1077";"3";"-99";"0";"1";"1";"9";"8";"2";"1";"1";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"1";"5";"3";"1";"-99";"-99";"-99";"-99";"-99";"3";"6";"1";"5";"2";"2";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"1";"-99";"4";"3";"5";"5";"3";"4";"1";"1";"1";"2";"1";"3";"3";"-99";"-99";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"-99";"4";"-99";"8";"2";"67";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-99";"-99";"0";"-99";"0";"7101447,7115252,7101522,7101558,7101571,7111982,7112144,7112405,7112407,7112415,7113504,7113506,7113507,7113508,7113510,7113511,7113513,7113514,7113515,7113516,7113517,7113518,7101365";"1";"1";"0";"-99";"-99";"4ab78a897a09033adf64d4d3d35279d0";"1";"0";"1724314097";"2024-08-22 08:08:17";"2024-08-22 08:26:14";"0000-00-00 00:00:00";"4";"77";"448";"592";"630";"654";"677";"702";"712";"737";"808";"858";"890";"916";"960";"1005";"1016";"1070";"1077";"0";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99"
"14";"0";"0";"31";"7115254";"-99";"18";"-99";"-99";"1";"0";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-99";"-99";"0";"-99";"0";"7101447,7115252,7118825,7115254";"0";"1";"0";"-99";"-99";"00f5dc2acbf9dc63b9e091a475b26963";"1";"0";"1724318582";"2024-08-22 09:23:02";"2024-08-22 09:23:20";"0000-00-00 00:00:00";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18";"-99";"-99";"-99";"-99";"-99";"-99";"-99";"-99"
