"";"ssec ";"tsec ";"sfree ";"tfree ";"finan ";"SES ";"man_finance ";"trust5 ";"med_act ";"micronarratives ";"mainstream "
"ssec";" 1.00   ";"";"";"";"";"";"";"";"";"";""
"tsec";" 0.33***";" 1.00   ";"";"";"";"";"";"";"";"";""
"sfree";" 0.86***";" 0.31***";" 1.00   ";"";"";"";"";"";"";"";""
"tfree";" 0.20** ";" 0.63***";" 0.16*  ";" 1.00   ";"";"";"";"";"";"";""
"finan";"-0.36***";"-0.46***";"-0.27***";"-0.39***";" 1.00   ";"";"";"";"";"";""
"SES";"-0.27***";"-0.23** ";"-0.16*  ";"-0.18*  ";" 0.52***";" 1.00   ";"";"";"";"";""
"man_finance";" 0.73***";" 0.22** ";" 0.65***";" 0.03   ";"-0.39***";"-0.31***";" 1.00   ";"";"";"";""
"trust5";"-0.31***";"-0.22** ";"-0.34***";"-0.15*  ";" 0.23** ";" 0.19*  ";"-0.12   ";" 1.00   ";"";"";""
"med_act";" 0.06   ";" 0.20** ";" 0.05   ";" 0.24** ";"-0.13   ";" 0.04   ";" 0.06   ";"-0.01   ";" 1.00   ";"";""
"micronarratives";" 0.24** ";" 0.22** ";" 0.29***";" 0.21** ";"-0.11   ";"-0.11   ";" 0.20** ";"-0.27***";" 0.26***";" 1.00   ";""
"mainstream";"-0.17*  ";" 0.01   ";"-0.21** ";" 0.13   ";"-0.00   ";" 0.13   ";"-0.04   ";" 0.32***";" 0.18*  ";" 0.17*  ";" 1.00   "
